City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Arraial Do Cabo,BR,2022-02-04 04:08:28,-22.9661,-42.0278,75.45,91,100,7.83
68,Finschhafen,PG,2022-02-04 04:09:25,-6.6024,147.8681,86.61,68,98,6.8
69,Bend,US,2022-02-04 04:07:07,44.0582,-121.3153,37.81,73,0,1.01
70,San Policarpo,PH,2022-02-04 04:09:26,12.1791,125.5072,75.94,84,100,10.63
71,Revda,RU,2022-02-04 04:09:26,56.801,59.9303,25.61,98,100,3.98
72,Barrow,US,2022-02-04 04:05:02,71.2906,-156.7887,-25.58,75,75,3.44
73,Tecoanapa,MX,2022-02-04 04:09:26,16.5167,-98.75,74.07,72,0,4.29
74,Chokurdakh,RU,2022-02-04 04:09:27,70.6333,147.9167,-27.42,100,61,0.31
75,Mahebourg,MU,2022-02-04 04:09:27,-20.4081,57.7,81.25,87,100,20.89
76,Jacareacanga,BR,2022-02-04 04:09:27,-6.2222,-57.7528,73.62,92,100,0.65
77,Cape Town,ZA,2022-02-04 04:05:13,-33.9258,18.4232,61.88,71,17,4.0
78,Busselton,AU,2022-02-04 04:09:28,-33.65,115.3333,101.05,33,49,14.79
79,Flinders,AU,2022-02-04 04:06:29,-34.5833,150.8552,77.18,57,77,11.99
80,Strelka,RU,2022-02-04 04:09:28,58.0728,93.0344,15.62,94,100,6.89
81,Sitka,US,2022-02-04 04:09:29,57.0531,-135.33,46.29,81,100,20.71
82,Mount Gambier,AU,2022-02-04 04:09:29,-37.8333,140.7667,70.18,50,6,14.14
83,Takoradi,GH,2022-02-04 04:09:30,4.8845,-1.7554,77.74,84,2,5.14
84,Sinazongwe,ZM,2022-02-04 04:09:30,-17.2614,27.4618,71.37,87,32,3.96
85,Wuchi,CN,2022-02-04 04:09:30,29.3786,103.023,32.41,76,98,3.47
86,Punta Arenas,CL,2022-02-04 04:09:31,-53.15,-70.9167,42.91,61,75,6.91
87,Lotoshino,RU,2022-02-04 04:09:31,56.2267,35.6414,15.35,96,95,6.02
88,Ambanja,MG,2022-02-04 04:09:31,-13.6833,48.45,75.96,88,100,3.62
89,Talaja,IN,2022-02-04 04:09:32,21.35,72.05,62.55,28,22,3.29
90,Sur,OM,2022-02-04 04:09:32,22.5667,59.5289,70.2,43,0,2.93
91,Motygino,RU,2022-02-04 04:09:33,58.1831,94.7592,12.49,93,100,7.23
92,Puqi,CN,2022-02-04 04:09:33,29.7167,113.8833,47.61,60,9,5.06
93,Praia,CV,2022-02-04 04:06:27,14.9215,-23.5087,70.14,80,0,13.33
94,Kavieng,PG,2022-02-04 04:09:34,-2.5744,150.7967,83.73,71,64,6.93
95,Doha,QA,2022-02-04 04:08:31,25.2867,51.5333,60.78,88,2,0.0
96,Augusto Correa,BR,2022-02-04 04:10:34,-1.0217,-46.635,75.27,92,100,3.65
97,Puerto Leguizamo,CO,2022-02-04 04:10:35,-0.1934,-74.7819,73.13,96,95,2.66
98,Baiyin,CN,2022-02-04 04:10:35,36.5583,104.2081,23.72,29,76,2.71
99,Sahibganj,IN,2022-02-04 04:08:14,25.25,87.65,60.89,84,100,17.87
100,Grand Gaube,MU,2022-02-04 04:10:35,-20.0064,57.6608,81.37,84,100,11.01
101,Pampa,US,2022-02-04 04:10:36,35.5362,-100.9599,9.14,92,0,8.05
102,Udachnyy,RU,2022-02-04 04:10:36,66.4167,112.4,-21.57,99,96,2.28
